cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,cuttoff_point
4955,S2,200190.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4955,S2,400081.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4955,T1,200073.0,3,2020-09-07,2020-10-30,54.0,2020-08-31
4955,T1,200088.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4955,T1,200192.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4955,T1,200193.0,3,2020-09-07,2020-10-30,54.0,2020-08-31
4955,T2,200195.0,3,2020-11-02,2021-01-22,82.0,2020-10-26
4955,T2,400020.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4955,T3,200068.0,2,2021-02-08,2021-04-09,61.0,2021-02-01
4955,T3,200210.0,1,2021-02-08,2021-04-09,61.0,2021-02-01
4955,T4,200200.0,1,2021-04-12,2021-06-11,61.0,2021-04-05
4955,T4,200217.0,2,2021-04-12,2021-06-11,61.0,2021-04-05
4956,S1,200012.0,3,2020-09-07,2021-01-15,131.0,2020-08-31
4956,S1,200187.0,8,2020-09-07,2021-01-15,131.0,2020-08-31
4956,S1,200189.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4956,S1,200196.0,7,2020-09-07,2021-01-15,131.0,2020-08-31
4956,S1,400082.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4956,S2,200049.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,200146.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,200170.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,200188.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,400019.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,400023.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4956,S2,400081.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4956,T1,200204.0,4,2020-09-07,2020-10-30,54.0,2020-08-31
4956,T2,200195.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4956,T2,200197.0,8,2020-11-02,2021-01-22,82.0,2020-10-26
4956,T4,200194.0,3,2021-04-12,2021-06-11,61.0,2021-04-05
4956,T4,200200.0,3,2021-04-12,2021-06-11,61.0,2021-04-05
4959,S1,200032.0,3,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,200070.0,12,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,200071.0,4,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,200165.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,200187.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,200196.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,400021.0,12,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S1,400082.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
