,cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,Week before start,course_encoding,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
113,859.0,S1,200225.0,32,2020-09-07,2021-01-22,138.0,2020-08-31,113,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
114,859.0,S1,200226.0,33,2020-09-07,2021-01-22,138.0,2020-08-31,114,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
115,859.0,S1,200227.0,33,2020-09-07,2021-01-22,138.0,2020-08-31,115,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
116,859.0,S1,200231.0,32,2020-09-07,2021-01-22,138.0,2020-08-31,116,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
117,859.0,S2,200101.0,33,2021-02-08,2021-06-25,138.0,2021-02-01,117,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
118,859.0,S2,200228.0,31,2021-02-08,2021-06-25,138.0,2021-02-01,118,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
119,859.0,S2,200229.0,32,2021-02-08,2021-06-25,138.0,2021-02-01,119,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
120,859.0,S2,200230.0,31,2021-02-08,2021-06-25,138.0,2021-02-01,120,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
121,9155.0,S1,100001.0,91,2020-09-07,2021-01-22,138.0,2020-08-31,121,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
122,9155.0,S1,100003.0,69,2020-09-07,2021-01-22,138.0,2020-08-31,122,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
123,9155.0,S1,100008.0,88,2020-09-07,2021-01-22,138.0,2020-08-31,123,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
124,9155.0,S1,100013.0,93,2020-09-07,2021-01-22,138.0,2020-08-31,124,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
125,9155.0,S1,100017.0,65,2020-09-07,2021-01-22,138.0,2020-08-31,125,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
126,9155.0,S1,100025.0,89,2020-09-07,2021-01-22,138.0,2020-08-31,126,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
127,9155.0,S1,100031.0,64,2020-09-07,2021-01-22,138.0,2020-08-31,127,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
