,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
444,5046.0,28.0,2014-11-24,2015-01-02,40.0,2014-11-17,2014-11-28,2014-12-05,2014-12-12,2014-12-19,2015-01-09
447,5068.0,33.0,2014-09-08,2014-12-26,110.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-02
451,5091.0,27.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
453,5103.0,72.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
454,5105.0,71.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
455,5106.0,48.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
457,5116.0,27.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
461,5147.0,35.0,2014-09-29,2014-12-26,89.0,2014-09-22,2014-10-10,2014-10-24,2014-10-31,2014-11-14,2015-01-02
463,5158.0,34.0,2015-01-05,2015-06-12,159.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-27,2015-06-19
464,5178.0,59.0,2014-09-01,2014-10-10,40.0,2014-08-25,2014-09-05,2014-09-12,2014-09-19,2014-09-26,2014-10-17
465,5179.0,37.0,2014-09-01,2014-10-03,33.0,2014-08-25,2014-09-05,2014-09-12,2014-09-12,2014-09-19,2014-10-10
467,5183.0,52.0,2014-09-08,2014-12-26,110.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-02
470,5194.0,38.0,2014-10-20,2015-01-23,96.0,2014-10-13,2014-10-31,2014-11-14,2014-11-21,2014-12-12,2015-01-30
472,5222.0,35.0,2014-09-22,2015-01-23,124.0,2014-09-15,2014-10-10,2014-10-24,2014-11-07,2014-11-28,2015-01-30
473,5232.0,41.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
475,5240.0,86.0,2014-09-15,2015-01-02,110.0,2014-09-08,2014-09-26,2014-10-17,2014-10-24,2014-11-14,2015-01-09
478,5261.0,70.0,2014-09-29,2015-01-30,124.0,2014-09-22,2014-10-17,2014-10-31,2014-11-14,2014-12-05,2015-02-06
482,5291.0,88.0,2014-10-06,2014-12-12,68.0,2014-09-29,2014-10-17,2014-10-24,2014-10-31,2014-11-14,2014-12-19
483,5330.0,76.0,2015-01-12,2015-06-19,159.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-04-03,2015-06-26
488,5342.0,40.0,2014-09-22,2015-01-16,117.0,2014-09-15,2014-10-03,2014-10-24,2014-10-31,2014-11-21,2015-01-23
491,5350.0,33.0,2014-09-29,2014-12-12,75.0,2014-09-22,2014-10-10,2014-10-17,2014-10-24,2014-11-07,2014-12-19
492,5352.0,91.0,2015-02-02,2015-04-24,82.0,2015-01-26,2015-02-13,2015-02-27,2015-03-06,2015-03-20,2015-05-01
494,5363.0,25.0,2014-10-13,2015-06-19,250.0,2014-10-06,2014-11-07,2014-12-19,2015-01-09,2015-02-20,2015-06-26
496,5375.0,40.0,2014-10-06,2014-12-12,68.0,2014-09-29,2014-10-17,2014-10-24,2014-10-31,2014-11-14,2014-12-19
497,5386.0,31.0,2014-11-03,2015-02-06,96.0,2014-10-27,2014-11-14,2014-11-28,2014-12-05,2014-12-26,2015-02-13
499,5398.0,29.0,2014-11-10,2015-01-30,82.0,2014-11-03,2014-11-21,2014-12-05,2014-12-12,2014-12-26,2015-02-06
503,5425.0,50.0,2014-11-10,2014-12-19,40.0,2014-11-03,2014-11-14,2014-11-21,2014-11-28,2014-12-05,2014-12-26
504,5426.0,38.0,2014-11-10,2015-02-13,96.0,2014-11-03,2014-11-21,2014-12-05,2014-12-12,2015-01-02,2015-02-20
507,5464.0,76.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
