course,userid,final_fail,final_gifted
1039.0,37030.0,1,0
1039.0,37620.0,1,0
1039.0,37719.0,1,0
1039.0,37776.0,1,0
1039.0,38023.0,1,0
1039.0,38489.0,1,0
1039.0,43598.0,1,0
1039.0,44157.0,1,0
1039.0,44258.0,1,0
1039.0,44690.0,1,0
1039.0,44746.0,1,0
1039.0,45361.0,1,0
1039.0,46570.0,1,0
1039.0,47127.0,1,0
1039.0,47196.0,1,0
1039.0,47916.0,1,0
1039.0,47972.0,1,0
1039.0,47980.0,1,0
1039.0,48000.0,1,0
1039.0,48026.0,1,0
1039.0,48040.0,1,0
1039.0,48184.0,1,0
1039.0,51840.0,1,0
1039.0,51847.0,1,0
1039.0,52065.0,1,0
1039.0,52097.0,1,0
1039.0,52283.0,1,0
1039.0,52504.0,1,0
1039.0,52520.0,1,0
1039.0,52669.0,1,0
1039.0,52679.0,1,0
1039.0,52912.0,1,0
1039.0,52963.0,1,0
1039.0,53114.0,1,0
1039.0,53139.0,1,0
1039.0,53204.0,1,0
1039.0,53247.0,1,0
1039.0,53360.0,1,0
1039.0,53444.0,1,0
1039.0,53459.0,1,0
1039.0,53515.0,0,0
1039.0,53588.0,1,0
1039.0,53624.0,1,0
1039.0,53645.0,1,0
1039.0,53678.0,1,0
1039.0,53793.0,1,0
1039.0,53821.0,1,0
1039.0,53828.0,1,0
1039.0,53880.0,1,0
1039.0,53982.0,1,0
1039.0,53983.0,1,0
1039.0,54226.0,1,0
1039.0,54406.0,1,0
1039.0,54552.0,1,0
1039.0,54580.0,0,1
1039.0,54685.0,1,0
1039.0,54790.0,1,0
1039.0,54796.0,1,0
1039.0,54868.0,1,0
1039.0,54934.0,1,0
1039.0,55016.0,1,0
1039.0,55421.0,1,0
1039.0,55656.0,1,0
1039.0,56685.0,1,0
1039.0,57743.0,1,0
1039.0,72879.0,1,0
1039.0,73694.0,1,0
1044.0,18002.0,0,0
1044.0,19986.0,1,0
1044.0,20151.0,1,0
1044.0,24464.0,0,0
1044.0,27063.0,0,0
1044.0,27705.0,0,0
1044.0,29897.0,0,0
1044.0,31238.0,0,0
1044.0,44130.0,1,0
1044.0,44145.0,1,0
1044.0,44454.0,1,0
1044.0,45332.0,0,0
1044.0,46518.0,1,0
1044.0,47857.0,0,0
1044.0,51909.0,0,0
1044.0,52037.0,0,0
1044.0,52176.0,0,0
1044.0,52505.0,1,0
1044.0,52755.0,0,0
1044.0,53867.0,0,0
1044.0,54324.0,0,0
1044.0,54659.0,0,0
1044.0,54702.0,0,0
1044.0,54770.0,1,0
1044.0,54797.0,0,0
1044.0,54870.0,0,0
1044.0,55262.0,0,0
1044.0,55453.0,1,0
1044.0,60799.0,1,0
1044.0,60804.0,1,0
1044.0,60968.0,0,0
1044.0,60997.0,0,0
1044.0,61238.0,0,0
1044.0,61307.0,0,0
1044.0,61420.0,1,0
1044.0,61575.0,1,0
1044.0,61830.0,0,0
1044.0,61892.0,0,0
1044.0,61893.0,0,0
1044.0,61981.0,0,0
1044.0,61995.0,0,0
1044.0,62189.0,1,0
1044.0,62196.0,0,0
1044.0,62293.0,0,0
1044.0,62303.0,0,0
1044.0,62314.0,1,0
1044.0,62463.0,0,0
1044.0,62516.0,1,0
1044.0,62587.0,0,0
1044.0,62596.0,1,0
1044.0,62669.0,0,0
1044.0,62758.0,0,0
1044.0,62759.0,0,0
1044.0,62945.0,0,0
1044.0,63102.0,0,0
1044.0,63119.0,1,0
1044.0,63338.0,1,0
1044.0,63454.0,0,0
1044.0,63583.0,0,0
1044.0,63751.0,0,0
1044.0,63843.0,0,0
1044.0,63945.0,0,0
1044.0,64143.0,1,0
1044.0,64260.0,1,0
1044.0,64392.0,0,0
1044.0,64418.0,0,0
1044.0,64449.0,0,0
1044.0,64613.0,0,1
1044.0,64645.0,0,0
1044.0,64688.0,0,0
1044.0,64690.0,0,0
1044.0,64933.0,1,0
1044.0,65725.0,0,0
1044.0,77059.0,1,0
1051.0,16993.0,0,0
1051.0,35146.0,0,0
1051.0,37161.0,0,0
