courseid,userid,Grade Mandatory,Grade Optional,final_mark
1013.0,45848.0,0.5,0.0,5.0
1013.0,46018.0,,0.0,0.0
1013.0,46032.0,0.5,0.0,5.0
1013.0,46046.0,0.5,0.0,5.0
1013.0,46121.0,0.3,0.0,3.0
1013.0,46172.0,0.5,0.0,5.0
1013.0,46211.0,0.5,0.0,5.0
1013.0,46357.0,0.5,0.0,5.0
1013.0,46481.0,0.5,,10.0
1013.0,46567.0,0.5,0.0,5.0
1013.0,46644.0,0.5,0.0,5.0
1013.0,46715.0,0.4,0.0,4.0
1013.0,47300.0,0.5,0.0,5.0
1013.0,47678.0,0.4,0.0,4.0
1013.0,47709.0,0.5,0.0,5.0
1013.0,47962.0,0.5,0.0,5.0
1013.0,51808.0,0.5,0.0,5.0
1013.0,51856.0,0.3,0.0,3.0
1013.0,51897.0,0.5,0.0,5.0
