,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
1588,1610.0,1.0,12380.0,nombre,"T_1C,A_12401","T_1C,A_12401",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307519335.0,1321273322.0,0.0,0.0,0.0,1425313993.0
1589,1611.0,1.0,12379.0,nombre,"T_1C,A_12746","T_1C,A_12746",-,1.0,topics,1.0,1.0,1390950000.0,2.0,41943040.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,1307537418.0,1391016709.0,0.0,0.0,0.0,1425313993.0
1590,1612.0,1.0,12378.0,nombre,"T_1C,A_12584","T_1C,A_12584",-,1.0,topics,1.0,1.0,1412719200.0,2.0,41943040.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1307522336.0,1412762475.0,0.0,0.0,0.0,1436171785.0
1591,1613.0,1.0,12377.0,nombre,"T_1C,A_12761","T_1C,A_12761",-,1.0,topics,1.0,1.0,1359932400.0,6.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307531975.0,1391010224.0,0.0,0.0,0.0,1425313993.0
1592,1614.0,1.0,12376.0,nombre,"T_1C,A_12451","T_1C,A_12451",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307519696.0,1307519696.0,0.0,0.0,0.0,1425313993.0
1593,1615.0,1.0,12375.0,nombre,"T_1C,A_12743","T_1C,A_12743",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1332262530.0,1332331196.0,0.0,0.0,0.0,1425313993.0
1594,1616.0,1.0,12374.0,nombre,"T_1C,A_12586","T_1C,A_12586",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307522440.0,1317045633.0,0.0,0.0,0.0,1425313993.0
1595,1617.0,1.0,12373.0,nombre,"T_1C,A_12793","T_1C,A_12793",-,1.0,topics,1.0,1.0,1422831600.0,0.0,41943040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,1307529062.0,1422881355.0,0.0,0.0,0.0,1434353231.0
1596,1618.0,1.0,12372.0,nombre,"T_1C,A_12754","T_1C,A_12754",-,1.0,topics,1.0,1.0,1369346400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307535759.0,1369349566.0,0.0,0.0,0.0,1425313993.0
1597,1619.0,1.0,12371.0,nombre,"T_1C,A_12680","T_1C,A_12680",-,1.0,topics,1.0,1.0,1411509600.0,7.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307536014.0,1411557995.0,0.0,0.0,0.0,1433160969.0
1598,1620.0,1.0,12370.0,nombre,"T_1C,A_12689","T_1C,A_12689",-,1.0,topics,1.0,1.0,1417388400.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307535589.0,1417424733.0,0.0,0.0,0.0,1435916368.0
